a=0.100000, norm=8.337433
a=0.200000, norm=8.407236
a=0.300000, norm=8.385445
a=0.400000, norm=8.340944
a=0.500000, norm=8.297542
a=0.600000, norm=8.266966
a=0.700000, norm=8.269887
a=0.800000, norm=8.231839
a=0.900000, norm=8.229024
a=1.000000, norm=8.207889
a=1.100000, norm=8.208658
a=1.200000, norm=8.192426
a=1.300000, norm=8.191029
a=1.400000, norm=8.183370
a=1.500000, norm=8.178986
a=1.600000, norm=8.176910
a=1.700000, norm=8.197524
a=1.800000, norm=8.174411
a=1.900000, norm=8.197035
a=2.000000, norm=8.173625
a=2.100000, norm=8.197007
a=2.200000, norm=8.175198
a=2.300000, norm=8.197256
a=2.400000, norm=8.176856
a=2.500000, norm=8.180321
a=2.600000, norm=8.178060
a=2.700000, norm=8.198139
a=2.800000, norm=8.179082
a=2.900000, norm=8.199922
a=3.000000, norm=8.189701
a=3.100000, norm=8.203270
a=3.200000, norm=8.195369
a=3.300000, norm=8.208822
a=3.400000, norm=8.208599
a=3.500000, norm=8.215254
a=3.600000, norm=8.219976
a=3.700000, norm=8.231052
a=3.800000, norm=8.233836
a=3.900000, norm=8.257663
a=4.000000, norm=8.291714
a=4.100000, norm=8.266643
a=4.200000, norm=8.270065
a=4.300000, norm=8.283018
a=4.400000, norm=8.290512
a=4.500000, norm=8.304601
a=4.600000, norm=8.312550
a=4.700000, norm=8.314529
a=4.800000, norm=8.318925
a=4.900000, norm=8.328201
a=5.000000, norm=8.352096
a=5.100000, norm=8.341308
a=5.200000, norm=8.340306
a=5.300000, norm=8.351241
a=5.400000, norm=8.351733
a=5.500000, norm=8.356440
a=5.600000, norm=8.362455
a=5.700000, norm=8.363722
a=5.800000, norm=8.364162
a=5.900000, norm=8.365384
a=6.000000, norm=8.370166
a=6.100000, norm=8.369786
a=6.200000, norm=8.369889
a=6.300000, norm=8.370566
a=6.400000, norm=8.371630
a=6.500000, norm=8.370984
a=6.600000, norm=8.372273
a=6.700000, norm=8.373501
a=6.800000, norm=8.377048
a=6.900000, norm=8.375803
a=7.000000, norm=8.374274
a=7.100000, norm=8.381454
a=7.200000, norm=8.391533
a=7.300000, norm=8.393346
a=7.400000, norm=8.399461
a=7.500000, norm=8.394867
a=7.600000, norm=8.404642
a=7.700000, norm=8.410621
a=7.800000, norm=8.412081
a=7.900000, norm=8.415684
a=8.000000, norm=8.398134
a=8.100000, norm=8.422473
a=8.200000, norm=8.439700
a=8.300000, norm=8.429939
a=8.400000, norm=8.436344
a=8.500000, norm=8.438187
a=8.600000, norm=8.446133
a=8.700000, norm=8.447152
a=8.800000, norm=8.466202
a=8.900000, norm=8.475674
a=9.000000, norm=8.441292
a=9.100000, norm=8.466311
a=9.200000, norm=8.473226
a=9.300000, norm=8.471070
a=9.400000, norm=8.483876
a=9.500000, norm=8.478172
a=9.600000, norm=8.537392
a=9.700000, norm=8.503428
a=9.800000, norm=8.520589
a=9.900000, norm=8.510688
a=10.000000, norm=8.494642
